Signal ID: User markers
Start Time: 22/03/2023 21:26:41

22.03.2023 21:26:41,740; Start
22.03.2023 22:11:04,250; BIOCALIBRATIONS START
22.03.2023 22:25:04,250; LIGHTS OFF
23.03.2023 06:25:04,240; LIGHTS ON
23.03.2023 06:25:54,000; BIOCALIBRATIONS START
23.03.2023 06:26:16,740; EYES OPEN
23.03.2023 06:27:22,000; EYES CLOSED
23.03.2023 06:28:29,500; BIOCALIBRATIONS END
23.03.2023 07:25:08,740; End
